Name,CountryOrg,Country OperatorOwner,OperatorOwner,Users,Purpose,Purpose2,Orbit,TypeOrbit,LongitudeOfGEO,Perigeekm,Apogeekm,Eccentricity,Inclinationdegrees,Periodminutes,LaunchMasskg,DryMasskg,Powerwatts,LaunchDate,ExpectedLifetime,Contractor,CountryContractor,LaunchSite,LaunchVehicle,COSPARNumber,NORADNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSAT-3A,Japan,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,,GEO,,109.91,"35,778","35,794",1.90E-04,0.03,1436.1,"1,980",,,,13 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-036B,32019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSAT-3B,Japan,Japan,Broadcasting Satellite System Corp.,Commercial,Communications,,GEO,,110.00,"33,066","35,725",3.26E-02,0.07,1365.61,"2,060",975,,,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2010-056B,37207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSAT-3CJCSat 110-R,Japan,Japan,Broadcasting Satellite System Corp.Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,110.00,"35,784","35,787",3.56E-05,0.05,1436.04,"2,910",,,2/7/4260,15 yrs.,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2011-041B,37776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bugsat-1 (Tita),NR,Argentina,Satellogic S.A.,Commercial,Technology Development,,LEO,Sun-Synchronous,0,570,617,3.37E-03,97.99,96.55,25,,,###############################################################################################################################################################################################################################################################,,Satellogic S.A.,Argentina,Dombarovsky Air Base,Dnepr,2014-033E,40014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation),France,FranceUSA,Centre National d'Etudes Spatiales (CNES)NASA,Government,Earth Science,,LEO,Sun-Synchronous,0,702,703,7.07E-05,98.2,98.8,587,,550,###############################################################################################################################################################################################################################################################,3 yrs.,Alcatel Alenia Space,France,Vandenberg AFB,Delta 2,2006-016B,29108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canopus-B (Kanopus Vulcan 1) ,Russia,Russia,Scientific Production Corporation (joint stock creation of Russian Space Agency),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,501,505,2.91E-04,97.5,94.7,400,110,300,###############################################################################################################################################################################################################################################################,5 yrs.,All-Russia Research Institute of Electromechanics (NPP VNIIEM),Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039A,38707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can-X2 (Canadian Advanced Nanospace experiment),Canada,Canada,University of Toronto Institute for Aerospace Studies,Civil,Technology Development,,LEO,Sun-Synchronous,0,609,629,1.43E-03,97.8,97.1,7,,,###############################################################################################################################################################################################################################################################,,University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Center,PSLV C9,2008-021H,32790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can-X4,NR,Canada,University of Toronto Institute for Aerospace Studies,Civil,Technology Development,,LEO,Sun-Synchronous,0,642,659,1.21E-03,97.74,98.26,15,,,###############################################################################################################################################################################################################################################################,,University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Center,PSLV-CA,2014-034C,40055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can-X5,NR,Canada,University of Toronto Institute for Aerospace Studies,Civil,Technology Development,,LEO,Sun-Synchronous,0,643,656,9.26E-04,98.26,97.72,15,,,###############################################################################################################################################################################################################################################################,,University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Center,PSLV-CA,2014-034D,40056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanX-7,NR (1216),Canada,University of Toronto Institute for Aerospace Studies,Civil,Technology Development,,LEO,Sun-Synchronous,0,661,701,2.84E-03,98.2,98.3,15,,,###############################################################################################################################################################################################################################################################,,University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Center ,PSLV,2016-059F,41788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 1 (IRS P5),India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,618,619,7.15E-05,97.9,97.1,"1,560","1,450","1,100",5/3/3411,6 yrs.,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C6,2005-017A,28649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 2 (IRS P7  CartoSat 2AT),India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,632,635,2.14E-04,97,97.4,680,,,3/10/4917,5 yrs.,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C7,2007-001B,29710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 2A,India,India,Indian Space Research Organization (ISRO),Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,624,643,1.36E-03,97.9,97.4,680,,,###############################################################################################################################################################################################################################################################,5 yrs.,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV C9,2008-021A,32783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 2B,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,622,645,1.64E-03,97.9,97.4,694,,,###############################################################################################################################################################################################################################################################,5 yrs.,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV,2010-035A,36795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CartoSat 2C,NR (1216),India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,501,519,1.31E-03,97.5,94.8,727,,,###############################################################################################################################################################################################################################################################,5 yrs.,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center ,PSLV XL,2016-040A,41599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassiope (CAScade SmallSat and Ionospheric Polar Explorer),NR,Canada,Canadian Space Agency,Government,Earth Science,,LEO,Elliptical,0,325,"1,486",7.98E-02,81,103.11,490,,600,###############################################################################################################################################################################################################################################################,2 yrs.,Canadian Space Agency,Canada,Vandenberg AFB,Falcon 9,2013-055A,39265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBERS 4 (China-Brazil Earth Resources Satellite 4),NR,ChinaBrazil,China National Space Administration (China)National Institute for Space Research (Brazil),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,738,748,7.03E-04,98.55,99.67,"1,980",,"2,300",8/26/5382,3 yrs.,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2014-079A,40336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBNT-1 (Carbonite 1),NR,United Kingdom,Surrey Satellite Technology Ltd.,Commercial,Technology Development,,LEO,Sun-Synchronous,0,636,658,1.57E-03,98,97.66,91,,,###############################################################################################################################################################################################################################################################,,Surrey Satellite Technologies Ltd.,United Kingdom,Satish Dhawan Space Centre,PSLV,2015-032D,40718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELTEE-1 (CubeSat Enhanced Locator Transponder Evaluation Experiment-1),NR (1216),USA,Air Force Research Laboratory,Military,Technology Development,,LEO,Sun-Synchronous,0,576,586,7.19E-04,97.98,96.29,3,,,###############################################################################################################################################################################################################################################################,,M42 Technologies,USA,Vandenberg AFB,Atlas 5,2016-067G,41854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFESat (Cibola Flight Experiment Satellite),USA,USA,Los Alamos National Labs (LANL),Government,Technology Development,,LEO,Non-Polar Inclined,0,538,544,4.34E-04,35.4,95.5,159,,110,4/10/2973,,Surrey Satellite Technologies Ltd.,United Kingdom,Cape Canaveral,Atlas 5,2007-006F,30777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandra X-Ray Observatory (CXO),USA,USA,NASA Goddard Space Flight Center,Government,Space Science,,Elliptical,Deep Highly Eccentric,0,"9,999","138,825",7.97E-01,28.5,3808.92,"4,742",,"2,500",###############################################################################################################################################################################################################################################################,5 yrs.,TRW Space and Electronics,USA,Cape Canaveral,Space Shuttle (STS 93),1999-040B,25867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chao Fenbianlu Duo Guangpu Chengxiang Weixing (Ultra-resolution multispectral imaging satellite),NR (117),China,Shanghai Engineering Center for Microsatellites,Government,Earth Observation ,Multispectral Imaging,LEO,Sun-Synchronous,0,690,720,2.12E-03,98.1,98.87,50,,,###############################################################################################################################################################################################################################################################,,Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 2D,2016-081B,41899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChinaSat 11 (Zhong Xing 11),China,China,China Satellite Communication Corp. (China Satcom),Commercial,Communications,,GEO,,98.00,"35,781","35,793",1.42E-04,0.02,1436.14,"5,100",,,11/3/3301,15 yrs.,China Aerospace Science and Technology Corp. (CASC),China,Xichang Satellite Launch Center,Long March 3B,2013-020A,39157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChinaSat 1C (Zhong Xing 1C),NR,China,China Satellite Communication Corp. (China Satcom),Commercial,Communications,,GEO,,81.00,"35,778","35,796",2.13E-04,0.01,1436.12,"5,200",,"8,000",5/31/5437,15 yrs.,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-073A,41103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChinaSat 2C (Zhong Xing 2C),NR,China,China Satellite Communication Corp. (China Satcom),CommercialGovernment,Communications,,GEO,,0.00,"35,787","35,801",1.66E-04,0.5,1436.1,"5,200",,,5/7/4999,15 yrs.,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-063A,41021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChinaSat 6B (Zhong Xing 6B),China,China,China Satellite Communication Corp. (China Satcom),CommercialGovernment,Communications,,GEO,,115.58,"35,777","35,797",2.37E-04,0.05,1436.1,"4,600",,"9,500",4/20/3986,15 yrs.,Thales Alenia Space,FranceItaly,Xichang Satellite Launch Center,Long March 3B,2007-031A,31800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuangxin 1-1 (Innovation 1-1  Chuang Xin 1  CX-1-1),China,China,Chinese Academy of Sciences,Government,Communications,,LEO,Sun-Synchronous,0,729,748,1.34E-03,98.5,99.6,100,,,###############################################################################################################################################################################################################################################################,,China Academy of Sciences,China,Taiyuan Launch Center,Long March 3B,2003-049B,28058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuangxin 1-2 (Innovation 1-2),China,China,Chinese Academy of Sciences,Government,Earth Observation,Optical ImagingMeterology,LEO,Sun-Synchronous,0,785,804,1.33E-03,98.5,98.5,101,,,2/1/5054,,China Academy of Sciences,China,Jiuquan Satellite Launch Center,Long March 2D,2008-056B,33434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuangxin 1-3 (Innovation 1-3),China,China,Chinese Academy of Sciences,Government,Earth Observation,Optical ImagingMeterology,LEO,Sun-Synchronous,0,784,804,1.40E-03,98.5,100.7,100,,,###############################################################################################################################################################################################################################################################,,China Academy of Sciences,China,Jiuquan Satellite Launch Center,Long March 2D,2011-068A,37930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuangxin 1-4 (Innovation 1-4),China,China,Chinese Academy of Sciences,Government,Earth Observation,Optical ImagingMeterology,LEO,Sun-Synchronous,0,778,809,2.16E-03,98.46,100.74,100,,,2/21/4479,,China Academy of Sciences,China ,Jiuquan Satellite Launch Center,Long March 2D,2014-051B,40137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuangxin-3,China,China,Chinese Academy of Sciences,Government,Technology Development,,LEO,Sun-Synchronous,0,665,672,4.97E-04,98.03,96.43,200,,,###############################################################################################################################################################################################################################################################,,China Academy of Sciences,China,Taiyuan Launch Center,Long March 2C,2013-037B,39209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChubuSat 1 (Kinshachi-1),NR,Japan,Nagoya University and Daido University,Civil,Technology Development,,LEO,Sun-Synchronous,0,506,538,2.32E-03,97.48,95.07,50,,,6/25/5081,,Nagoya University and Daido University,Japan,Dombarovsky Air Base,Dnepr,2014-070C,40300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChubuSat 2 (Kinshachi-2),NR (1216),Japan,Nagoya University and Daido University,Civil,Technology Development,,LEO,Sun-Synchronous,0,560,579,1.37E-03,31,96.05,50,,,10/10/7846,,Nagoya University and Daido University,Japan,Tanegashima Space Center,H-2A,2016-012B,41338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChubuSat 3 (Kinshachi-3),NR (1216),Japan,Nagoya University and Daido University,Civil,Technology Development,,LEO,Sun-Synchronous,0,558,579,1.51E-03,31,96,50,,,10/10/7846,,Nagoya University and Daido University,Japan,Tanegashima Space Center,H-2A,2016-012C,41339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciel-2,Canada,Canada,Ciel Satellite Group,Commercial,Communications,,GEO,,-129.00,"35,782","35,788",7.12E-05,0.05,1436.05,"5,585",,,,15 yrs.,Thales Alenia Space,France,Baikonur Cosmodrome,Proton M,2008-063A,33453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINEMA-1 (Cubesat for Ion  Neutral  Electron  Magnetic fields),USA,USA,University of California-BerkeleyImperial College-London,Civil,Space Science,,LEO,Non-Polar Inclined,0,484,791,2.19E-02,64.6,97.4,3,,,###############################################################################################################################################################################################################################################################,,Space Sciences Laboratory (SSL) of the University of California Berkeley;  Kyung Hee University (KHU)  Imperial College London,USA,Vandenberg AFB,Atlas 5,2012-048G,38764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIO (USA 257),USA,USA,Unknown US agency,Military,Communications,,GEO,,106.00,"35,736","35,854",1.40E-03,0.04,1436.5,,,,,,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2014-055A,40208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloudsat,USA,USA,NASAColorado State University,GovernmentCivil,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,702,703,7.07E-05,98.2,98.8,848,,570,###############################################################################################################################################################################################################################################################,2 yrs.,NASA Jet Propulsion Laboratory,USA,Vandenberg AFB,Delta 2,2006-016A,29107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMS-1 (Communication  Ocean and Meteorological Satellite; Cheollian),South Korea,South Korea,Korea Aerospace Research Institute (KARI),Government,Earth ObservationCommunications,Optical ImagingMeteorology,GEO,,128.00,"35,783","35,791",9.49E-05,0.01,1436.1,"2,460",,,,,EADS AstriumElectronics and Telecommunications Research Institute (ETRI),South Korea,Guiana Space Center,Ariane 5 ECA,2010-032A,36744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMSATBw-1 (COmmunications SATellite für BundesWehr),Germany,Germany,Armed Forces,Military,Communications,,GEO,,63.00,"35,773","35,799",3.08E-04,0.05,1436.1,"2,440",,"3,500",10/13/4670,15 yrs.,Thales Alenia Space,FranceItaly,Guiana Space Center,Ariane 5,2009-054B,35943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMSATBw-2 (COmmunications SATellite für BundesWehr),Germany,Germany,Armed Forces,Military,Communications,,GEO,,13.20,"35,780","35,794",1.66E-04,0.08,1436.11,"2,440",,"3,500",,15 yrs.,Thales Alenia Space,FranceItaly,Guiana Space Center,Ariane 5,2010-021B,36582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condor E2 ,NR,South Africa,Armed Forces,Military,Earth Observation,Radar Imaging,LEO,Polar,0,499,501,1.46E-04,74.75,94.62,,,,###############################################################################################################################################################################################################################################################,,NPO Mashinostroyeniya,Russia,Baikonur Cosmodrome,Strela,2014-084A,40353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coriolis (Windsat),USA,USA,US Air Force US NavyNASA,Military,EarthSpace Science,,LEO,Sun-Synchronous,0,820,841,1.46E-03,98.8,101.5,817,395,"1,174",7/19/2343,3 yrs.,Spectrum Astro  Inc.,USA,Vandenberg AFB,Titan 2,2003-001A,27640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSMIC-A (Formosat-3A  Constellation Observing System for Meteorology  Ionosphere and Climate),NR,TaiwanUSA,National Space Program Office (NSPO)University Corporation for Atmospheric Research (UCAR) Boulder  CO,GovernmentCivil,Earth Observation,Meteorology,LEO,Polar,0,764,836,5.02E-03,72,100.9,70,,46,###############################################################################################################################################################################################################################################################,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur,2006-011A,29047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSMIC-B (Formosat-3B  Constellation Observing System for Meteorology  Ionosphere and Climate),NR,TaiwanUSA,National Space Program Office (NSPO)University Corporation for Atmospheric Research (UCAR) Boulder  CO,GovernmentCivil,Earth Observation,Meteorology,LEO,Polar,0,769,831,4.32E-03,72,100.9,70,,46,###############################################################################################################################################################################################################################################################,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur,2006-011B,29048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSMIC-D (Formosat-3D  Constellation Observing System for Meteorology  Ionosphere and Climate),NR,TaiwanUSA,National Space Program Office (NSPO)University Corporation for Atmospheric Research (UCAR) Boulder  CO,GovernmentCivil,Earth Observation,Meteorology,LEO,Polar,0,669,746,5.44E-03,72,98.9,70,,46,###############################################################################################################################################################################################################################################################,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur,2006-011D,29050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSMIC-E (Formosat-3E  Constellation Observing System for Meteorology  Ionosphere and Climate),NR,TaiwanUSA,National Space Program Office (NSPO)University Corporation for Atmospheric Research (UCAR) Boulder  CO,GovernmentCivil,Earth Observation,Meteorology,LEO,Polar,0,751,849,6.83E-03,72,100.9,70,,46,###############################################################################################################################################################################################################################################################,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur,2006-011E,29051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSMIC-F (Formosat-3F  Constellation Observing System for Meteorology  Ionosphere and Climate),NR,TaiwanUSA,National Space Program Office (NSPO)University Corporation for Atmospheric Research (UCAR) Boulder  CO,GovernmentCivil,Earth Observation,Meteorology,LEO,Polar,0,772,828,3.91E-03,72,100.9,70,,46,###############################################################################################################################################################################################################################################################,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur,2006-011F,29052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos 2504,NR,Russia,Ministry of Defense,Military,Technology Development,,LEO,Polar,0,"1,171","1,504",2.16E-02,82.4,112.41,,,,###############################################################################################################################################################################################################################################################,,Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2015-020D,40555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space AgencyMinistry of Defense,MilitaryCivil,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,"1,700",,"3,600",4/8/3767,5 yrs.,Thales Alenia Space,FranceItaly,Vandenberg AFB,Delta 7000,2007-023A,31598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space AgencyMinistry of Defense,MilitaryGovernment,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,"1,700",,,5/23/5437,5 yrs.,Thales Alenia Space,Italy,Vandenberg AFB,Delta 2,2007-059A,32376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space AgencyMinistry of Defense,MilitaryGovernment,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,"1,700",,,###############################################################################################################################################################################################################################################################,5 yrs.,Thales Alenia Space,Italy,Vandenberg AFB,Delta 7420,2008-054A,33412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space AgencyMinistry of Defense,MilitaryGovernment,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,"1,700",,,6/21/5081,5 yrs.,Thales Alenia Space,Italy,Vandenberg AFB,Delta 2,2010-060A,37216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP-10 (Exocube),NR,USA,California Polytechnic State UniversityNASA JPL,Civil,Earth Observation,Earth Science,LEO,Elliptical,0,441,657,1.56E-02,99.1,95.6,4,,,3/3/5492,,California Polytechnic UniversityNASA JPL,USA,Vandenberg AFB,Delta 2,2015-003E,40380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryosat-2 ,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Radar Imaging,LEO,Polar,0,713,724,7.76E-04,92,99.2,720,,,9/11/3219,3 yrs.,EADS Astrium,FranceUKGermanySpain,Baikonur Cosmodrome,Dnepr,2010-013A,36508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cubebug 1  (Capitán Beto),Argentina,Argentina,Argentinian Ministry of Science  Technology and Productive InnovationRadio Club Bariloche,Civil,Technology Development,,LEO,Sun-Synchronous,0,630,653,1.64E-03,98.05,97.55,2,,,###############################################################################################################################################################################################################################################################,,Argentinian Ministry of Science  Technology and Productive Innovation,Argentina,Jiuquan Satellite Launch Center,CZ-2D,2013-018D,39153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cubebug 2 (Manolito  LO-74),NR,Argentina,Argentinian Ministry of Science  Technology and Productive InnovationRadio Club Bariloche,Civil,Technology Development,,LEO,Sun-Synchronous,0,594,715,8.61E-03,97.8,97.8,2,,,###############################################################################################################################################################################################################################################################,,Argentinian Ministry of Science  Technology and Productive Innovation,Argentina,Dombarovsky Air Base,Dnepr,2013-066AA,39440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cubesat XI-IV (Oscar 57  CO-57),Japan,Japan,Department of Astronautics  University of Tokyo,Civil,Technology Development,,LEO,Sun-Synchronous,0,815,830,1.04E-03,98.7,101.3,,1,,###############################################################################################################################################################################################################################################################,,Department of Astronautics  University of Tokyo,Japan,Plesetsk Cosmodrome,Dnepr,2003-031J,27848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSat-1 (Cornell University Satellite 1),NR,USA,Space Systems Design Studio  Cornell University,Civil,Technology Development,,LEO,Polar,0,326,"1,465",7.84E-02,80.99,102.89,,,2.2,###############################################################################################################################################################################################################################################################,.5 yrs.,Space Systems Design Studio  Cornell University,USA,Vandenberg AFB,Falcon 9,2013-055B,39266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYGNSS FM01 (Cyclone Global Navigation Satellite System),NR (117),USA,University of MichiganNASA Earth Science Technology Office,Government,Earth Observation,Radar ImagingEarth Science,LEO,Non-Polar Inclined,0,515,537,1.60E-03,34.96,95.16,29,,,###############################################################################################################################################################################################################################################################,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078D,41887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYGNSS FM02 (Cyclone Global Navigation Satellite System),NR (117),USA,University of MichiganNASA Earth Science Technology Office,Government,Earth Observation,Radar ImagingEarth Science,LEO,Non-Polar Inclined,0,514,536,1.60E-03,34.97,95.13,29,,,###############################################################################################################################################################################################################################################################,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078C,41886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYGNSS FM03 (Cyclone Global Navigation Satellite System),NR (117),USA,University of MichiganNASA Earth Science Technology Office,Government,Earth Observation,Radar ImagingEarth Science,LEO,Non-Polar Inclined,0,514,533,1.38E-03,34.96,95.1,29,,,###############################################################################################################################################################################################################################################################,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078H,41891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYGNSS FM04 (Cyclone Global Navigation Satellite System),NR (117),USA,University of MichiganNASA Earth Science Technology Office,Government,Earth Observation,Radar ImagingEarth Science,LEO,Non-Polar Inclined,0,515,534,1.38E-03,34.95,95.13,29,,,###############################################################################################################################################################################################################################################################,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078B,41885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYGNSS FM05 (Cyclone Global Navigation Satellite System),NR (117),USA,University of MichiganNASA Earth Science Technology Office,Government,Earth Observation,Radar ImagingEarth Science,LEO,Non-Polar Inclined,0,515,537,1.60E-03,34.96,95.15,29,,,###############################################################################################################################################################################################################################################################,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078A,41884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYGNSS FM06 (Cyclone Global Navigation Satellite System),NR (117),USA,University of MichiganNASA Earth Science Technology Office,Government,Earth Observation,Radar ImagingEarth Science,LEO,Non-Polar Inclined,0,515,534,1.38E-03,34.96,95.12,29,,,###############################################################################################################################################################################################################################################################,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078F,41889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYGNSS FM07 (Cyclone Global Navigation Satellite System),NR (117),USA,University of MichiganNASA Earth Science Technology Office,Government,Earth Observation,Radar ImagingEarth Science,LEO,Non-Polar Inclined,0,514,534,1.45E-03,34.96,95.12,29,,,###############################################################################################################################################################################################################################################################,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078G,41890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYGNSS FM08 (Cyclone Global Navigation Satellite System),NR (117),USA,University of MichiganNASA Earth Science Technology Office,Government,Earth Observation,Radar ImagingEarth Science,LEO,Non-Polar Inclined,0,515,537,1.60E-03,34.95,95.15,29,,,###############################################################################################################################################################################################################################################################,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078E,41888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daichi-2 (Advanced Land Observing Satellite-2  ALOS 2 2),NR,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,630,635,3.57E-04,97.88,97.36,"2,120",,"5,200",###############################################################################################################################################################################################################################################################,7 yrs.,Mitsubishi Electric,Japan,Tanegashima Space Center,H-2A,2014-029A,39766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAMPE (Dark Matter Particle Explorer),NR,China,Chinese Academy of Science,Government,Space Science,,LEO,Sun-Synchronous,0,488,505,1.24E-03,97.3,94.54,"1,850",,,###############################################################################################################################################################################################################################################################,3 yrs.,Chinese Academy of Science,China,Jiuquan Satellite Launch Center,Long March 2D,2015-078A,41173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
