Name,CountryOrg,Country OperatorOwner,OperatorOwner,Users,Purpose,Purpose2,Orbit,TypeOrbit,LongitudeOfGEO,Perigeekm,Apogeekm,Eccentricity,Inclinationdegrees,Periodminutes,LaunchMasskg,DryMasskg,Powerwatts,LaunchDate,ExpectedLifetime,Contractor,CountryContractor,LaunchSite,LaunchVehicle,COSPARNumber,NORADNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,,LEO,Equatorial,0,480,790,2.21E-02,0.02,97.4,3,,,###############################################################################################################################################################################################################################################################,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 4.5A,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,495,791,2.11E-02,64.6,97.5,5,,,###############################################################################################################################################################################################################################################################,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048K,38767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 4.5B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,499,792,2.09E-02,64.6,97.6,5,,,###############################################################################################################################################################################################################################################################,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048L,38768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 5A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0,443,886,3.15E-02,120.3,98,5,,,4/9/5355,2 yrs.,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072D,39465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 5B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0,443,886,3.15E-02,120.3,98,5,,,4/9/5355,2 yrs.,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072E,39466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,500,802,2.15E-02,64.78,97.74,2,,,6/14/4862,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,614,700,6.12E-03,97.98,97.88,5,,,###############################################################################################################################################################################################################################################################,3 yrs.,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Sun-Synchronous,0,614,700,6.12E-03,97.98,97.88,5,,,###############################################################################################################################################################################################################################################################,3 yrs.,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,500,802,2.15E-02,64.6,97.4,2,,,6/14/4862,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058C,40966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,356,700,2.49E-02,55,95.19,5,,,###############################################################################################################################################################################################################################################################,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025J,40659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,356,700,2.49E-02,55,95.19,5,,,###############################################################################################################################################################################################################################################################,,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
